Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-1246.points, 72.79, 0.13
test-1247.points, 84.30, 0.20
test-1248.points, 90.59, 0.13
test-1249.points, 70.88, 0.32
test-125.points, 86.65, 0.21
test-1250.points, 65.63, 0.19
test-1251.points, 60.51, 0.29
test-1252.points, 73.28, 0.16
test-1253.points, 98.55, 0.21
test-1254.points, 82.20, 0.37
test-1255.points, 69.15, 0.37
test-1256.points, 63.45, 0.40
test-1257.points, 86.69, 0.43
test-1258.points, 79.48, 0.27
test-1259.points, 77.86, 0.21
test-126.points, 63.95, 0.44
test-1260.points, 68.48, 0.16
test-1261.points, 67.21, 0.20
test-1262.points, 83.80, 0.36
test-1263.points, 66.54, 0.17
test-1264.points, 62.68, 0.21
test-1265.points, 92.87, 0.22
test-1266.points, 88.59, 0.22
test-1267.points, 93.62, 0.27
test-1268.points, 80.64, 0.32
test-1269.points, 67.99, 0.29
test-127.points, 63.03, 0.35
test-1270.points, 75.70, 0.17
test-1271.points, 86.47, 0.28
test-1272.points, 75.36, 0.37
test-1273.points, 71.50, 0.23
test-1274.points, 90.56, 0.38
test-1275.points, 63.94, 0.26
test-1276.points, 77.31, 0.20
test-1277.points, 86.76, 0.09
test-1278.points, 97.42, 0.18
test-1279.points, 62.19, 0.26
test-128.points, 69.77, 0.41
test-1280.points, 80.53, 0.17
test-1281.points, 119.06, 0.27
test-1282.points, 59.10, 0.14
test-1283.points, 68.89, 0.24
test-1284.points, 95.99, 0.17
test-1285.points, 80.78, 0.15
test-1286.points, 70.14, 0.20
test-1287.points, 60.08, 0.17
test-1288.points, 84.01, 0.18
test-1289.points, 83.83, 0.26
test-129.points, 72.42, 0.39
test-1290.points, 76.88, 0.27
test-1291.points, 81.74, 1.32
test-1292.points, 61.32, 0.21
test-1293.points, 80.50, 0.17
test-1294.points, 77.90, 0.10
test-1295.points, 69.70, 0.37
test-1296.points, 60.28, 0.31
test-1297.points, 74.76, 0.32
test-1298.points, 68.63, 0.14
test-1299.points, 84.51, 0.42
test-13.points, 84.90, 0.30
test-130.points, 63.11, 0.18
test-1300.points, 74.21, 0.45
test-1301.points, 85.70, 0.14
test-1302.points, 80.21, 0.24
test-1303.points, 62.12, 0.14
test-1304.points, 62.41, 0.10
test-1305.points, 71.93, 0.19
test-1306.points, 69.10, 0.16
test-1307.points, 74.45, 0.20
test-1308.points, 76.13, 0.35
test-1309.points, 65.03, 0.37
test-131.points, 59.97, 0.34
test-1310.points, 69.91, 0.23
test-1311.points, 95.19, 0.09
test-1312.points, 61.07, 0.23
test-1313.points, 79.04, 0.17
test-1314.points, 86.00, 0.12
test-1315.points, 62.24, 0.32
test-1316.points, 79.50, 0.16
test-1317.points, 74.31, 0.15
test-1318.points, 88.32, 0.28
test-1319.points, 69.64, 0.22
test-132.points, 74.68, 0.15
test-1320.points, 64.00, 0.26
test-1321.points, 74.80, 0.16
test-1322.points, 69.93, 0.24
test-1323.points, 61.84, 0.29
test-1324.points, 69.56, 0.20
test-1325.points, 0.02, 0.21
test-1326.points, 77.52, 0.13
test-1327.points, 61.65, 0.28
test-1328.points, 86.26, 0.30
test-1329.points, 75.22, 0.30
test-133.points, 65.52, 0.24
test-1330.points, 79.69, 0.37
test-1331.points, 74.42, 0.44
test-1332.points, 81.29, 0.20
test-1333.points, 82.97, 0.27
test-1334.points, 78.01, 0.27
test-1335.points, 60.38, 0.31
test-1336.points, 80.20, 0.16
test-1337.points, 64.27, 0.19
test-1338.points, 59.73, 0.45
test-1339.points, 64.26, 0.23
test-134.points, 72.96, 0.32
test-1340.points, 57.24, 0.37
test-1341.points, 76.36, 0.21
test-1342.points, 66.10, 0.14
test-1343.points, 59.02, 0.42
test-1344.points, 60.00, 0.28
test-1345.points, 63.58, 0.17
test-1346.points, 75.95, 0.15
test-1347.points, 73.64, 0.22
test-1348.points, 67.45, 0.30
test-1349.points, 82.27, 0.32
test-135.points, 62.43, 0.17
test-1350.points, 62.19, 0.27
test-1351.points, 63.24, 0.19
test-1352.points, 59.23, 0.07
test-1353.points, 78.21, 0.11
test-1354.points, 67.09, 0.53
test-1355.points, 77.34, 0.24
test-1356.points, 69.23, 0.14
test-1357.points, 78.19, 0.09
test-1358.points, 84.21, 0.18
test-1359.points, 78.79, 0.19
test-136.points, 83.07, 0.15
test-1360.points, 61.56, 0.20
test-1361.points, 90.68, 0.31
test-1362.points, 69.94, 0.36
test-1363.points, 75.09, 0.31
test-1364.points, 85.28, 0.39
test-1365.points, 78.39, 0.13
test-1366.points, 84.67, 0.40
test-1367.points, 0.40, 0.16
test-1368.points, 88.51, 0.36
test-1369.points, 61.69, 0.23
test-137.points, 82.51, 0.33
test-1370.points, 70.90, 0.36
test-1371.points, 77.63, 0.46
test-1372.points, 89.38, 0.35
test-1373.points, 77.05, 0.17
test-1374.points, 68.04, 0.38
test-1375.points, 85.22, 0.20
test-1376.points, 97.13, 0.18
test-1377.points, 64.08, 0.26
test-1378.points, 69.77, 0.15
test-1379.points, 87.56, 0.20
test-138.points, 78.42, 0.24
test-1380.points, 92.26, 0.40
test-1381.points, 73.57, 0.35
test-1382.points, 91.98, 0.57
test-1383.points, 78.31, 0.36
test-1384.points, 64.28, 0.26
test-1385.points, 66.65, 0.22
test-1386.points, 67.82, 0.29
test-1387.points, 79.10, 0.24
test-1388.points, 73.47, 0.22
test-1389.points, 75.73, 0.27
test-139.points, 99.69, 0.27
test-1390.points, 74.02, 0.22
test-1391.points, 62.31, 0.15
test-1392.points, 72.84, 0.50
test-1393.points, 69.74, 0.13
test-1394.points, 78.45, 0.16
test-1395.points, 76.69, 0.22
test-1396.points, 73.13, 0.23
test-1397.points, 65.21, 0.14
test-1398.points, 62.08, 0.25
test-1399.points, 0.30, 0.24
test-14.points, 70.16, 0.11
test-140.points, 83.24, 0.16
test-1400.points, 85.33, 0.17
test-1401.points, 74.69, 0.23
test-1402.points, 72.48, 0.11
test-1403.points, 77.02, 0.18
test-1404.points, 59.59, 0.32
test-1405.points, 78.44, 0.20
test-1406.points, 55.83, 0.41
test-1407.points, 60.62, 0.17
test-1408.points, 85.95, 0.18
test-1409.points, 75.58, 0.27
test-141.points, 81.78, 0.20
test-1410.points, 75.62, 0.18
test-1411.points, 77.20, 0.20
test-1412.points, 77.95, 0.24
test-1413.points, 73.65, 0.19
test-1414.points, 79.12, 0.12
test-1415.points, 67.34, 0.18
test-1416.points, 85.61, 0.32
test-1417.points, 60.71, 0.11
test-1418.points, 72.94, 0.26
test-1419.points, 75.56, 0.22
test-142.points, 91.61, 0.31
test-1420.points, 75.34, 0.30
test-1421.points, 90.66, 0.24
test-1422.points, 59.52, 0.16
test-1423.points, 73.54, 0.44
test-1424.points, 71.39, 0.15
test-1425.points, 85.81, 0.22
test-1426.points, 59.39, 0.27
test-1427.points, 86.98, 0.37
test-1428.points, 69.15, 0.18
test-1429.points, 76.73, 0.24
test-143.points, 64.72, 0.15
test-1430.points, 80.29, 0.12
test-1431.points, 56.67, 0.21
test-1432.points, 81.72, 0.28
test-1433.points, 72.55, 0.26
test-1434.points, 84.65, 0.08
test-1435.points, 104.21, 0.13
test-1436.points, 61.39, 0.42
test-1437.points, 81.94, 0.11
test-1438.points, 62.09, 0.36
test-1439.points, 81.04, 0.43
test-144.points, 88.69, 0.21
test-1440.points, 89.07, 0.21
test-1441.points, 88.40, 0.25
test-1442.points, 91.05, 0.17
test-1443.points, 82.70, 0.36
test-1444.points, 79.53, 0.13
test-1445.points, 93.70, 0.09
test-1446.points, 87.08, 0.40
test-1447.points, 91.26, 0.19
test-1448.points, 0.47, 0.25
test-1449.points, 72.64, 0.35
test-145.points, 66.63, 0.13
test-1450.points, 73.73, 0.17
test-1451.points, 72.82, 0.35
test-1452.points, 69.48, 0.25
test-1453.points, 99.19, 0.18
test-1454.points, 87.83, 0.11
test-1455.points, 96.99, 0.23
test-1456.points, 74.78, 0.26
test-1457.points, 76.39, 0.27
test-1458.points, 74.95, 0.16
test-1459.points, 93.53, 0.20
test-146.points, 82.07, 0.11
test-1460.points, 76.11, 0.48
test-1461.points, 95.86, 0.14
test-1462.points, 106.53, 0.38
test-1463.points, 87.70, 0.29
test-1464.points, 74.91, 0.41
test-1465.points, 69.13, 0.36
test-1466.points, 98.13, 0.25
test-1467.points, 88.73, 0.20
test-1468.points, 74.67, 0.14
test-1469.points, 86.20, 0.32
test-147.points, 60.01, 0.42
test-1470.points, 69.91, 1.33
test-1471.points, 57.98, 0.22
test-1472.points, 58.26, 0.10
test-1473.points, 64.41, 0.23
test-1474.points, 80.80, 0.48
test-1475.points, 59.36, 0.24
test-1476.points, 82.37, 0.18
test-1477.points, 67.67, 0.20
test-1478.points, 86.57, 0.46
test-1479.points, 69.90, 0.54
test-148.points, 78.42, 0.18
test-1480.points, 69.31, 0.41
test-1481.points, 63.08, 0.18
test-1482.points, 80.40, 0.28
test-1483.points, 86.11, 0.18
test-1484.points, 66.14, 0.27
test-1485.points, 61.57, 0.10
test-1486.points, 81.31, 0.25
test-1487.points, 79.87, 0.11
test-1488.points, 58.94, 0.24
test-1489.points, 74.94, 0.41
test-149.points, 61.26, 0.17
test-1490.points, 75.73, 0.30
test-1491.points, 81.31, 0.26
test-1492.points, 0.16, 0.16
test-1493.points, 66.59, 0.18
test-1494.points, 70.71, 0.22
test-1495.points, 69.51, 0.20
test-1496.points, 91.81, 0.22
test-1497.points, 71.29, 0.33
test-1498.points, 92.55, 0.16
test-1499.points, 74.21, 0.29
test-15.points, 80.00, 0.09
test-150.points, 61.48, 0.20
test-1500.points, 92.89, 0.34
test-1501.points, 91.76, 0.31
test-1502.points, 70.37, 0.16
test-1503.points, 85.24, 0.19
test-1504.points, 77.72, 0.38
test-1505.points, 71.13, 0.15
test-1506.points, 70.24, 0.46
